Trace,Scenario,TraceNumber,Median,Max,Min,SD,IQR,MaxDroughtLength,Driest10yr,Wettest10yr,demand,mead,powell,InitCombinedStorage,Neuron,Cluster
611,npc_cmip3,314,10.13682238,32.36613668,8.023061185,4.395985783,1.905540737,24,10.12313974,12.92678381,4.508060674,1112.384859,3690.510996,34.71517644,4,4
632,npc_cmip3,335,10.17647048,32.36629268,6.293006894,4.764707874,4.653757195,7,9.984483094,14.81430312,4.367444647,1082.997659,3599.506702,21.20768075,20,3
640,npc_cmip3,343,10.87282221,32.36637668,6.292886894,5.770447948,2.028791552,11,9.428225433,15.37628895,4.244439296,1069.695069,3598.231212,20.00796827,22,5
652,npc_cmip3,355,13.09777744,20.49495552,9.589444045,3.935809751,7.500803043,6,12.62951901,15.6631033,5.52467264,1099.81184,3633.643486,26.09918175,19,3
661,npc_cmip3,364,13.09781944,22.33671117,8.163652566,4.08525024,6.907048425,5,13.29748109,15.78311248,5.827436764,1038.189683,3565.022754,15.00212212,33,3
692,npc_cmip3,395,13.13698218,22.33677117,8.163508566,4.084287347,6.626561303,6,12.14191348,14.6923332,5.042689668,1068.658045,3588.435521,19.07766022,4,4
701,npc_cmip3,404,13.68972765,16.46073545,6.158204764,2.818630352,5.097066328,8,11.39402516,14.14694153,5.387944003,1075.716552,3586.446179,19.47799405,34,3
731,npc_cmip3,434,10.74191386,17.86629144,7.438746332,3.290883032,5.41987046,4,11.41955885,13.53428599,4.364735278,997.3622591,3540.339338,10.79796908,51,7
740,npc_cmip3,443,14.33295467,18.96927221,6.536905707,3.28819539,5.708336183,6,12.50774949,15.98122657,4.537451277,1063.929423,3602.167459,19.91157914,31,3
747,npc_cmip3,450,13.8942642,18.96939221,6.943185845,3.7041177,6.006569285,5,11.56887463,15.07919014,5.505509084,1073.913726,3605.244018,20.98390473,22,5
773,npc_cmip3,476,10.24926006,19.01684157,5.776984795,3.663536532,5.530474728,8,8.600352139,12.0828173,4.650315097,1082.565994,3625.112059,23.67145211,9,6
805,npc_cmip3,508,12.60151856,22.53842131,9.370518064,4.249455463,8.442035188,4,12.76241403,16.24359418,4.308594998,1033.975878,3565.876673,14.77999003,30,2
811,npc_cmip3,514,13.72448357,22.67631586,9.813998798,3.910259431,7.217053162,4,13.85212658,15.53252949,4.606799705,1018.430764,3566.275613,13.80737286,30,2
817,npc_cmip3,520,15.85480201,22.67617186,8.732882794,4.685532604,9.273557453,3,13.68221712,16.77880675,4.709840474,1072.371066,3622.82011,22.59303033,29,2
827,npc_cmip3,530,15.87700797,22.53836131,8.496245549,3.857255702,5.848495983,4,14.16899754,17.04604104,5.781535109,1127.387248,3700,37.64453644,16,2
858,npc_cmip3,561,17.60426398,22.88547943,7.768363661,3.905272228,7.1029247,2,14.59873877,18.09178509,5.996719247,1069.39773,3621.875498,22.25698538,17,2
859,npc_cmip3,562,14.50108829,22.88523943,9.177160474,4.464224846,8.959084107,4,12.22849231,15.63910767,4.421545365,1078.471771,3610.877803,21.88787645,16,2
